file_url	time_period	data_type
https://www.fec.gov/files/bulk-downloads/2012/webk12.zip	2011–2012	PAC summary
https://www.fec.gov/files/bulk-downloads/2010/webk10.zip	2009–2010	PAC summary
https://www.fec.gov/files/bulk-downloads/2008/webk08.zip	2007-2008	PAC summary
https://www.fec.gov/files/bulk-downloads/2006/webk06.zip	2005–2006	PAC summary
https://www.fec.gov/files/bulk-downloads/2004/webk04.zip	2003–2004	PAC summary
https://www.fec.gov/files/bulk-downloads/2002/webk02.zip	2001-2002	PAC summary
https://www.fec.gov/files/bulk-downloads/2000/webk00.zip	1999–2000	PAC summary
https://www.fec.gov/files/bulk-downloads/1998/webk98.zip	1997–1998	PAC summary
https://www.fec.gov/files/bulk-downloads/1996/webk96.zip	1995–1996	PAC summary
https://www.fec.gov/files/bulk-downloads/2020/indiv20.zip	2019–2020	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/2018/indiv18.zip	2017–2018	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/2016/indiv16.zip	2015–2016	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/2014/indiv14.zip	2013–2014	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/2012/indiv12.zip	2011–2012	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/2010/indiv10.zip	2009–2010	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/2008/indiv08.zip	2007-2008	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/2006/indiv06.zip	2005–2006	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/2004/indiv04.zip	2003–2004	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/2002/indiv02.zip	2001-2002	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/2000/indiv00.zip	1999–2000	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/1998/indiv98.zip	1997–1998	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/1996/indiv96.zip	1995–1996	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/1994/indiv94.zip	1993–1994	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/1992/indiv92.zip	1991–1992	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/1990/indiv90.zip	1989–1990	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/1988/indiv88.zip	1987–1988	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/1986/indiv86.zip	1985–1986	Contributions by individuals
